,BTC,ETH,LTC,Volume_BTC,Volume_Eth,Volume_LTC,Volume_XRP,XRP,Retweets,Favorites,NumTweets
2017-08-17 14:00:00,4440.5445989473055,309.51518725993566,44.22884732429954,0.07687215,17.338063000000002,17.463,618.4410799999999,0.15794642154239988,414.0,667.0,335.0
2017-08-17 15:00:00,4456.327055138858,306.3333104252062,44.27349775127471,0.70946415,2.99905229,1.10825,4431.12023899,0.15802205517270632,340.0,720.0,370.0
2017-08-17 16:00:00,4380.102847093444,304.43885034800496,44.10204366332451,0.01424925,0.157371,17.64,283.563,0.1565581466205289,616.0,1100.0,372.0
2017-08-17 17:00:00,4307.45888440177,300.14789224048087,43.65137884223482,0.27952899999999997,0.025055900000000002,12.3563,546.63675,0.15539945700008487,2029.0,928.0,426.0
2017-08-17 18:00:00,4301.538030450315,302.48447703106257,43.77348161096533,3.0,2.0,22.88,1202.99992446,0.15678004113577013,265.0,652.0,413.0
2017-08-17 19:00:00,4242.650309208154,300.18610854955153,43.51122267081143,0.00470379,0.99997867,15.11507629,1922.0,0.15565538169662935,563.0,954.0,418.0
2017-08-17 20:00:00,4258.445033063465,299.48698940038105,43.28571465522753,0.052984,1.19,4.1,36.68750134,0.1548070223024131,6202.0,32430.0,334.0
2017-08-17 21:00:00,4284.5044831336245,301.46326495294585,43.641580667605574,0.02561681,2.332,9.44,4066.3399990000003,0.15590143600766354,184.0,563.0,382.0
2017-08-17 22:00:00,4335.512595831867,303.6086405676062,43.72667718739602,0.0114972,15.70197983,380.84972739,705.17121337,0.15789212507112105,105.0,400.0,303.0
2017-08-17 23:00:00,4306.875248048178,303.86428917648465,44.08969295506524,0.64804941,2.0,3.59130279,10000.0,0.1585817442220557,411.0,657.0,268.0
2017-08-18 00:00:00,4299.1831805604525,302.1890703927097,43.89690702145978,0.07323884,1.0082681,9.999,888.74337023,0.15919144452766962,208.0,466.0,249.0
2017-08-18 01:00:00,4279.189607757494,298.4594135590405,43.868951616003535,0.23261105,0.61381423,0.55603,381.41,0.15423657466520396,424.0,900.0,224.0
2017-08-18 02:00:00,4221.276795538695,296.4991012464367,44.45480340885229,0.43358021,6.66358293,0.26402199,493.75577000000004,0.1528859252537776,143.0,335.0,203.0
