,Date,Open,High,Low,Close,Volume,Market Cap,Open_btc,High_btc,Low_btc,Close_btc,Volume_btc,Market Cap_btc,Open_ltc,High_ltc,Low_ltc,Close_ltc,Volume_ltc,Market Cap_ltc,Open_xrp,High_xrp,Low_xrp,Close_xrp,Volume_xrp,Market Cap_xrp
0,2018-03-24,542.57,545.38,526.08,526.44,1300010000,53375400000,8901.95,8996.18,8665.7,8668.12,5664600000,150762000000,168.53,168.65,159.63,159.63,290270000,9397290000,0.6462140000000001,0.679608,0.640516,0.641265,390740000,25263200000
1,2018-03-23,539.86,540.49,512.13,539.62,1596350000,53098100000,8736.25,8879.62,8360.62,8879.62,5954120000,147941000000,163.58,167.83,157.26,167.83,348056000,9118940000,0.663111,0.663111,0.625258,0.643174,387164000,25923800000
2,2018-03-22,562.1,577.57,523.09,539.7,1523460000,55273800000,8939.44,9100.71,8564.9,8728.47,5530390000,151366000000,168.72,172.31,161.11,163.67,404997000,9403220000,0.693145,0.7013510000000001,0.636741,0.6627430000000001,449042000,27097900000
3,2018-03-21,559.1,589.61,550.57,561.73,1781270000,54967300000,8937.48,9177.37,8846.33,8929.28,6043130000,151316000000,169.56,175.26,166.62,169.05,462536000,9447220000,0.713055,0.7206100000000001,0.679162,0.6936640000000001,527324000,27876200000
4,2018-03-20,556.72,567.09,521.2,557.18,1833680000,54722100000,8619.67,9051.02,8389.89,8913.47,6361790000,145922000000,161.52,173.3,156.82,168.82,492892000,8997260000,0.736759,0.736759,0.673427,0.709808,814276000,28802900000
5,2018-03-19,546.63,558.1,519.12,556.73,2046790000,53718600000,8344.12,8675.87,8182.4,8630.65,6729110000,141240000000,155.48,163.05,151.66,161.14,504833000,8658190000,0.672126,0.74908,0.640012,0.74908,1096930000,26274600000
6,2018-03-18,551.64,551.64,460.09,538.64,2685500000,54200100000,7890.52,8245.51,7397.99,8223.68,6639190000,133547000000,152.54,156.15,138.02,154.07,595955000,8492470000,0.634466,0.6775909999999999,0.5488149999999999,0.6587770000000001,923606000,24802400000
7,2018-03-17,601.68,609.15,549.1,552.78,1267810000,59104200000,8321.91,8346.53,7812.82,7916.88,4426150000,140834000000,165.19,165.22,151.06,152.97,403809000,9194360000,0.6877449999999999,0.689434,0.626709,0.6378560000000001,319824000,26885100000
8,2018-03-16,611.78,623.17,587.86,601.67,1417350000,60083700000,8322.91,8585.15,8005.31,8338.35,5289380000,140834000000,164.82,171.26,158.99,165.45,436628000,9171160000,0.699063,0.71178,0.674463,0.68926,502740000,27327600000
9,2018-03-15,614.84,620.62,579.51,611.3,1770460000,60371800000,8290.76,8428.35,7783.05,8300.86,6834430000,140275000000,161.2,167.33,151.48,164.48,564609000,8967720000,0.702913,0.7306729999999999,0.643845,0.6972689999999999,888345000,27478100000
10,2018-03-14,691.22,702.78,594.1,614.29,1810560000,67857600000,9214.65,9355.85,8068.59,8269.81,6438230000,155891000000,175.94,177.55,158.63,161.1,480653000,9785030000,0.789569,0.79908,0.67601,0.701902,479149000,30865600000
11,2018-03-13,698.15,713.74,682.35,690.83,1425960000,68524000000,9173.04,9470.38,8958.19,9194.85,5991140000,155168000000,177.6,181.87,172.26,175.78,468094000,9874530000,0.798451,0.805729,0.778471,0.7897109999999999,279679000,31213000000
12,2018-03-12,724.41,742.51,683.27,699.83,1765000000,71086000000,9602.93,9937.5,8956.43,9205.12,6457400000,162421000000,189.02,193.34,175.88,178.23,567629000,10506700000,0.8321270000000001,0.8383280000000001,0.787882,0.801048,355031000,32529500000
13,2018-03-11,685.31,735.83,668.12,723.34,1562680000,67235700000,8852.78,9711.89,8607.12,9578.63,6296370000,149716000000,177.51,193.48,172.47,188.95,669378000,9864710000,0.795765,0.840407,0.775737,0.8311219999999999,472972000,31108000000
14,2018-03-10,730.16,748.03,682.7,686.89,1532960000,71620700000,9350.59,9531.32,8828.47,8866.0,5386320000,158119000000,188.11,194.65,176.54,177.73,625808000,10451000000,0.854872,0.8604430000000001,0.793736,0.7966270000000001,402670000,33418600000
15,2018-03-09,702.2,729.16,648.11,728.92,2233020000,68863600000,9414.69,9466.35,8513.03,9337.55,8704190000,159185000000,176.48,189.92,160.43,187.17,943364000,9802410000,0.8261219999999999,0.856182,0.7514850000000001,0.8497610000000001,989203000,32294700000
16,2018-03-08,752.57,773.77,696.17,704.6,1891640000,73788400000,9951.44,10147.4,9335.87,9395.01,7186090000,168241000000,185.7,188.15,176.17,176.51,612509000,10311600000,0.872508,0.8885620000000001,0.8253870000000001,0.825857,499496000,34108000000
17,2018-03-07,816.27,825.61,726.55,752.83,2175420000,80017300000,10803.9,10929.5,9692.12,9965.57,8797910000,182631000000,196.83,199.28,175.65,185.84,755925000,10926500000,0.924378,0.930659,0.824895,0.87121,809598000,36135700000
18,2018-03-06,853.82,853.82,809.93,816.95,1943070000,83680400000,11500.1,11500.1,10694.3,10779.9,6832170000,194378000000,210.51,210.51,193.16,196.6,661078000,11683000000,0.954448,0.9913059999999999,0.9168629999999999,0.9228870000000001,875180000,37311200000
19,2018-03-05,866.85,869.92,853.52,853.68,1898490000,84939700000,11532.4,11704.1,11443.9,11573.3,6468540000,194903000000,213.74,215.98,209.25,211.18,594829000,11858800000,1.01,1.08,0.956116,0.959368,1706820000,39650700000
20,2018-03-04,856.19,867.95,840.28,866.68,1697940000,83877800000,11497.4,11512.6,11136.1,11512.6,6084150000,194289000000,210.24,214.12,205.36,213.8,574675000,11661400000,0.906008,1.03,0.895618,1.01,797226000,35417600000
21,2018-03-03,856.71,868.45,855.21,857.23,1699370000,83911700000,11101.9,11528.2,11002.4,11489.7,6690570000,187581000000,213.84,217.76,209.54,210.64,681866000,11858000000,0.9087860000000001,0.9265120000000001,0.9036040000000001,0.907804,280853000,35526200000
22,2018-03-02,871.76,876.38,852.42,856.85,1894420000,85368100000,10977.4,11189.0,10850.1,11086.4,7620590000,185456000000,209.56,213.13,204.88,212.56,627142000,11617300000,0.926638,0.9339120000000001,0.902286,0.9101440000000001,271036000,36226700000
23,2018-03-01,856.01,880.3,851.92,872.2,1868520000,83808200000,10385.0,11052.3,10352.7,10951.0,7317280000,175427000000,203.12,214.7,201.54,209.75,678542000,11257600000,0.9041309999999999,0.9537959999999999,0.8906299999999999,0.9283469999999999,475257000,35346800000
24,2018-02-28,877.93,890.11,855.12,855.2,1963980000,85936400000,10687.2,11089.8,10393.1,10397.9,6936190000,180510000000,217.28,223.51,202.71,202.9,761322000,12039200000,0.9446969999999999,0.95555,0.9037870000000001,0.904583,329530000,36932700000
25,2018-02-27,870.37,896.26,867.1,878.27,2053980000,85177800000,10393.9,10878.5,10246.1,10725.6,6966180000,175536000000,221.71,224.21,215.84,216.6,856454000,12281600000,0.9593020000000001,0.9725799999999999,0.9449770000000001,0.947305,312713000,37503700000
26,2018-02-26,845.28,880.39,842.32,869.32,2044480000,82705400000,9669.43,10475.0,9501.73,10366.7,7287690000,163283000000,222.14,234.42,218.74,220.96,1297080000,12302000000,0.9437040000000001,0.9709059999999999,0.9134030000000001,0.956859,458613000,36893900000
27,2018-02-25,839.46,853.15,822.38,844.81,1646960000,82119100000,9796.42,9923.22,9407.06,9664.73,5706940000,165407000000,208.13,225.55,202.37,220.48,1028590000,11523500000,0.9519770000000001,0.9675969999999999,0.9152790000000001,0.9434870000000001,360271000,37217300000
28,2018-02-24,861.59,879.53,818.55,840.52,1926580000,84266700000,10287.7,10597.2,9546.97,9813.07,6917930000,173682000000,210.64,220.31,197.88,209.42,937312000,11659200000,0.997659,1.01,0.929456,0.9544020000000001,489920000,39003300000
29,2018-02-23,811.59,886.32,794.79,864.19,2334820000,79358900000,9937.07,10487.3,9734.56,10301.1,7739500000,167746000000,194.19,216.13,184.07,209.31,1065680000,10746100000,0.934176,1.03,0.898286,0.9988549999999999,896404000,36441500000
30,2018-02-22,849.26,875.93,802.67,812.85,2150370000,83025800000,10660.4,11039.1,9939.09,10005.0,8040080000,179936000000,212.84,222.77,191.81,195.31,974379000,11774800000,1.01,1.05,0.922458,0.941788,889707000,39487400000
31,2018-02-21,894.14,912.38,830.56,849.97,2531730000,87394200000,11372.2,11418.5,10479.1,10690.4,9405340000,191927000000,230.95,235.41,208.93,213.35,1195820000,12773200000,1.08,1.1,0.9988809999999999,1.02,871526000,42207600000
32,2018-02-20,943.57,965.27,892.95,895.37,2545260000,92206500000,11231.8,11958.5,11231.8,11403.7,9926540000,189536000000,223.09,253.9,222.51,232.85,1739670000,12335100000,1.14,1.17,1.08,1.09,806673000,44648100000
33,2018-02-19,921.67,957.78,921.55,943.87,2169020000,90047700000,10552.6,11273.8,10513.2,11225.3,7652090000,178055000000,215.42,226.97,215.38,223.06,767597000,11907900000,1.12,1.17,1.12,1.14,556304000,43813300000
34,2018-02-18,973.35,982.93,915.45,923.92,2567290000,95077100000,11123.4,11349.8,10326.0,10551.8,8744010000,187663000000,230.51,232.64,214.46,215.74,1011120000,12738800000,1.2,1.21,1.09,1.12,1113650000,46997500000
35,2018-02-17,944.75,976.6,940.75,974.12,2525720000,92264000000,10207.5,11139.5,10149.4,11112.7,8660880000,172191000000,229.5,233.45,225.6,229.47,863401000,12679700000,1.14,1.22,1.13,1.2,1186730000,44370200000
36,2018-02-16,934.79,950.01,917.85,944.21,2369450000,91272100000,10135.7,10324.1,9824.82,10233.9,7296160000,170960000000,225.5,236.09,212.33,230.12,1300090000,12455300000,1.14,1.15,1.11,1.14,568339000,44663300000
37,2018-02-15,923.73,951.95,911.11,936.98,2900100000,90173300000,9488.32,10234.8,9395.58,10166.4,9062540000,160025000000,212.35,237.88,211.17,225.43,2087290000,11725700000,1.14,1.16,1.11,1.15,1188530000,44433600000
